,batch_size,momentum,lr,width,weight_decay,grawa,mgrawa,avg_train_loss,avg_train_error,avg_test_loss,avg_test_error
180,32,0.9,0.1,4,0.0001,201.2548065185547,1189.3814697265625,0.00014053624153137208,0.0,0.5793095726966858,15.049999999999997
181,128,0.9,0.1,6,0.01,161233.375,565044.0625,0.016914703788757323,0.0,0.43681988067626953,12.860000000000005
182,128,0.1,0.1,8,0,127.17308807373047,596.4549560546875,6.384195327758789e-05,0.0,1.1181119428634643,22.98
183,512,0.9,0.05,4,0.01,189845.15625,740530.8125,0.01863344253540039,0.0,0.3708568332672119,10.660000000000004
184,512,0.1,0.075,6,0,968.6665649414062,4709.58203125,0.0007241810321807861,0.0,1.5346421691894532,31.36
185,128,0.5,0.075,6,0,73.91507720947266,347.1964111328125,4.023696899414062e-05,0.0,1.1235471939086914,21.860000000000003
186,32,0.5,0.075,8,0,8.352903366088867,38.92325973510742,4.556388854980469e-06,0.0,1.0147240646362305,17.689999999999994
187,32,0.9,0.1,6,0,118.29808807373047,676.2570190429688,2.5661563873291017e-05,0.002000000000002,0.9246600796699523,15.410000000000002
188,32,0.1,0.075,8,0.0001,82.40255737304688,376.20843505859375,3.720308303833008e-05,0.0,0.8729805238723755,19.199999999999996
189,32,0.1,0.05,8,0,28.7458438873291,132.278564453125,1.2748355865478516e-05,0.0,1.1171859716415404,22.209999999999997
190,512,0.9,0.1,4,0.0001,367.1395263671875,1878.689453125,0.0002485950183868408,0.0,0.8031533824920655,19.64
191,128,0.9,0.1,8,0.01,126019.9453125,464195.96875,0.016724124021530153,0.0,0.4313900485992432,13.01
192,128,0.9,0.05,4,0.01,172972.90625,592932.75,0.01692740860939026,0.0,0.399796533203125,11.59
193,128,0.9,0.075,6,0.0001,324.75921630859375,1615.0867919921875,0.00017904048919677735,0.0,0.6533978618621826,16.92
194,128,0.1,0.075,8,0.0001,374.0170593261719,1724.472412109375,0.00017800331115722657,0.0,1.104301278924942,24.329999999999995
195,32,0.1,0.05,6,0,21.368837356567383,100.13951110839844,9.488105773925781e-06,0.0,1.1506518599510194,22.330000000000005
196,128,0.5,0.1,4,0,34.010414123535156,163.74472045898438,2.1813220977783204e-05,0.0,1.2447034027099608,22.509999999999998
197,512,0.1,0.1,4,0.0001,676.6973266601562,3276.88134765625,0.0004484785556793213,0.0,1.6539790069580078,32.36
198,512,0.5,0.1,4,0,231.77542114257812,1148.6240234375,0.0001583999824523926,0.0,1.5333703365325928,28.42
199,512,0.1,0.1,6,0,823.4940185546875,3975.303955078125,0.0005250199699401855,0.0,1.4374680189132691,29.84
200,512,0.9,0.075,4,0.01,239645.0625,847270.625,0.019059631519317628,0.0,0.36584336233139036,10.280000000000001
201,512,0.1,0.05,4,0,1194.638916015625,5990.45263671875,0.0008594534587860107,0.0,1.7255930181503296,33.830000000000005
202,32,0.5,0.1,8,0.01,78150.171875,334017.71875,0.013313160514831543,0.0,0.3778011838912964,11.409999999999998
203,128,0.9,0.075,4,0.01,226869.265625,745128.125,0.01731210931777954,0.0,0.46404935092926025,13.349999999999994
204,32,0.1,0.075,8,0,15.217612266540527,69.06492614746094,7.705707550048827e-06,0.0,1.0170943141937256,20.07
205,128,0.1,0.075,4,0.0001,245.15452575683594,1205.2059326171875,0.00012521556854248046,0.0,1.4404993812561036,29.069999999999997
206,128,0.9,0.075,8,0.0001,289.5425720214844,1474.73974609375,0.00028350059509277346,0.0,0.6624999949455261,16.200000000000003
207,32,0.1,0.1,8,0.0001,81.68489074707031,379.8041687011719,3.935554504394531e-05,0.0,0.8108731518745422,18.54
208,128,0.9,0.1,6,0.0001,369.5901794433594,1875.10546875,0.00019020716667175294,0.0,0.6305527301549911,16.869999999999997
209,512,0.1,0.05,6,0.01,67971.40625,330758.65625,0.016861681170463563,0.0,0.7715168270111084,25.21
210,128,0.9,0.05,6,0.0001,288.0279541015625,1405.023681640625,0.00016816837310791016,0.0,0.7284835956573487,18.34
211,32,0.5,0.1,4,0.01,153141.046875,503475.96875,0.015454154930114747,0.0,0.43359147834777834,13.219999999999999
212,32,0.5,0.05,8,0,417.3644714355469,2021.2967529296875,3.521299362182617e-05,0.002000000000002,0.96081282081604,18.369999999999997
